id,name,description,price,paymethod,createdAt,updatedAt,startCityId,endCityId,companyId
1,广州-东莞,每个学校免费接送，即使只有您一人乘车亦照常发车，高额保险！,25,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,1,5,1
2,广州-深圳,每个学校免费接送，即使只有您一人乘车亦照常发车，高额保险！,50,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,1,3,2
3,深圳-湛江,全程高速,80,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,3,6,3
4,广州-珠海,每天发车，全程高速,35,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,1,4,4
5,珠海-广州,每天发车，全程高速,35,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,4,1,5
6,东莞-广州,每个学校免费接送，即使只有您一人乘车亦照常发车，高额保险！,25,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,5,1,6
7,深圳-广州,每个学校免费接送，即使只有您一人乘车亦照常发车，高额保险！,50,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,3,1,7
8,河源-广州,每个学校免费接送，即使只有您一人乘车亦照常发车，高额保险！,50,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,2,1,8
9,湛江-深圳,全程高速,80,提前电话订票，上车再买票,2015/10/9 1:31,2015/10/9 1:31,6,3,9
10,广州-潮州,各大高校均有上车点,80,提前电话订票，上车再买票,2015/10/10 1:31,2015/10/10 1:31,1,9,10
11,惠州-广州,全程高速,50,提前电话订票，上车再买票,2015/10/11 1:31,2015/10/11 1:31,10,1,11
12,江门-广州,豪华大巴，校园之旅，天天发车，全程高速直达,20,提前电话订票，上车再买票，也支持微信订票哟,2015/10/12 1:31,2015/10/12 1:31,11,1,12
13,清远-广州,豪华大巴,15,提前电话订票，上车再买票，也支持微信订票哟,2015/10/13 1:31,2015/10/13 1:31,7,1,13
14,广州-清远,豪华大巴,15,提前电话订票，上车再买票，也支持微信订票哟,2015/10/14 1:31,2015/10/14 1:31,1,7,14
