id,phoneNumber,createdAt,updatedAt,companyId,buslineId
1,15920127234,2015/10/9 1:31,2015/10/9 1:31,1,1
2,020-32620728,2015/10/9 1:31,2015/10/9 1:31,1,1
3,020-32620729,2015/10/9 1:31,2015/10/9 1:31,1,1
5,13711945715,2015/10/9 1:31,2015/10/9 1:31,6,6
6,13728447748,2015/10/9 1:31,2015/10/9 1:31,6,6
6,15999855468,2015/10/9 1:31,2015/10/9 1:31,6,6
7,13189098743,2015/10/9 1:31,2015/10/9 1:31,2,2
8,13189098742,2015/10/9 1:31,2015/10/9 1:31,2,2
9,13189098741,2015/10/9 1:31,2015/10/9 1:31,2,2
10,13723771001,2015/10/9 1:31,2015/10/9 1:31,7,7
11,13723728377,2015/10/9 1:31,2015/10/9 1:31,7,7
12,13728631669,2015/10/9 1:31,2015/10/9 1:31,7,7
13,157 6644 3671,2015/10/9 1:31,2015/10/9 1:31,3,3
14,157 6644 3672,2015/10/9 1:31,2015/10/9 1:31,3,3
15,188 9886 6960,2015/10/9 1:31,2015/10/9 1:31,9,9
16,188 9886 6961,2015/10/9 1:31,2015/10/9 1:31,9,9
17,137 1141 0100,2015/10/9 1:31,2015/10/9 1:31,4,4
18,150 1870 7013,2015/10/9 1:31,2015/10/9 1:31,4,4
19,153 6396 2108,2015/10/9 1:31,2015/10/9 1:31,5,5
20,153 6396 2208,2015/10/9 1:31,2015/10/9 1:31,5,5
21,135 3650 0498,2015/10/9 1:31,2015/10/9 1:31,5,5
22,158 0000 5615,2015/10/9 1:31,2015/10/9 1:31,8,8
23,158 0000 3715,2015/10/9 1:31,2015/10/9 1:31,8,8
24,020-32486693,2015/10/9 1:31,2015/10/9 1:31,10,10
25,13580407125,2015/10/9 1:31,2015/10/9 1:31,10,10
26,13828377077,2015/10/9 1:31,2015/10/9 1:31,10,10
27,158 2070 6911,2015/10/9 1:31,2015/10/9 1:31,11,11
28,158 2070 6933,2015/10/9 1:31,2015/10/9 1:31,11,11
29,133 5265 5296,2015/10/9 1:31,2015/10/9 1:31,11,11
30,134 2733 2922,2015/10/9 1:31,2015/10/9 1:31,12,12
31,134 2733 2932,2015/10/9 1:31,2015/10/9 1:31,12,12
32,130 8571 9166,2015/10/9 1:31,2015/10/9 1:31,13,13
33,130 8571 9177,2015/10/9 1:31,2015/10/9 1:31,13,13
34,132 3284 5751,2015/10/9 1:31,2015/10/9 1:31,13,13
35,150 1874 9449,2015/10/9 1:31,2015/10/9 1:31,14,14
36,159 1581 3883,2015/10/9 1:31,2015/10/9 1:31,14,14
37,159 1864 4450,2015/10/9 1:31,2015/10/9 1:31,14,14
