id,phoneNumber,createdAt,updatedAt,companyId,buslineId
1,15920127234,2015/10/9 1:31,2015/10/9 1:31,1,1
2,020-32620728,2015/10/9 1:31,2015/10/9 1:31,1,1
3,32620729,2015/10/9 1:31,2015/10/9 1:31,1,1
4,0769-87873718,2015/10/9 1:31,2015/10/9 1:31,1,1
5,13713001442,2015/10/9 1:31,2015/10/9 1:31,1,1
6,15899618691,2015/10/9 1:31,2015/10/9 1:31,1,1
7,13189098743,2015/10/9 1:31,2015/10/9 1:31,2,2
8,13189098742,2015/10/9 1:31,2015/10/9 1:31,2,2
9,13189098741,2015/10/9 1:31,2015/10/9 1:31,2,2
10,13723771001,2015/10/9 1:31,2015/10/9 1:31,2,2
11,13723728377,2015/10/9 1:31,2015/10/9 1:31,2,2
12,13728631669,2015/10/9 1:31,2015/10/9 1:31,2,2
13,157 6644 3671,2015/10/9 1:31,2015/10/9 1:31,3,3
14,157 6644 3672,2015/10/9 1:31,2015/10/9 1:31,3,3
15,188 9886 6960,2015/10/9 1:31,2015/10/9 1:31,3,3
16,188 9886 6961,2015/10/9 1:31,2015/10/9 1:31,3,3
