id,name,address,latitude,longitude,createdAt,updatedAt,cityId
1,大学城各高校门口,校门正对面,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
2,大学城北地铁站B出口,B出口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
3,华师西门地铁E出口,E出口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
4,五山地铁B出口,B出口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
5,总站,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
6,文化广场,广场对面,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
7,广医,校门口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
8,理工,校门口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
9,大学城,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
10,华师大,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
11,体育中心,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
12,烈士陵园,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
13,火车站,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
14,同乐关,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
15,深大,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
16,世界之窗,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
17,岗夏,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
18,上海宾馆,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
19,高职院,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
20,西丽大学城,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
21,布吉,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
22,深圳大学,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
23,宝安（西乡）,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
24,霞山,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,6
25,赤坎,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,6
26,遂溪,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,6
