Host: localhost   Database: intercitybus     Time: 2015-09-24 07:50:21 +0000

Table busline_starttimes

id,"createdAt","updatedAt",buslineId,starttimeId
1,"2015-09-24 15:43:10","2015-09-24 15:43:10",1,18
2,"2015-09-24 15:43:10","2015-09-24 15:43:10",1,21


Table busline_stations

id,"createdAt","updatedAt",buslineId,stationId
1,"2015-09-24 15:43:10","2015-09-24 15:43:10",1,1
2,"2015-09-24 15:43:10","2015-09-24 15:43:10",1,2
3,"2015-09-24 15:43:10","2015-09-24 15:43:10",1,3
4,"2015-09-24 15:43:10","2015-09-24 15:43:10",1,4


Table buslines

id,"name","description",price,"paymethod","createdAt","updatedAt",startCityId,endCityId,companyId
1,"line one","no desc",40,"no pay method","2015-09-24 15:43:09","2015-09-24 15:43:09",1,2,1


Table cities

id,"name","createdAt","updatedAt"
1,"广州","2015-09-24 15:43:09","2015-09-24 15:43:09"
2,"深圳","2015-09-24 15:43:09","2015-09-24 15:43:09"
3,"珠海","2015-09-24 15:43:09","2015-09-24 15:43:09"
4,"佛山","2015-09-24 15:43:09","2015-09-24 15:43:09"
5,"惠州","2015-09-24 15:43:09","2015-09-24 15:43:09"
6,"湛江","2015-09-24 15:43:09","2015-09-24 15:43:09"
7,"梅州","2015-09-24 15:43:09","2015-09-24 15:43:09"
8,"汕头","2015-09-24 15:43:09","2015-09-24 15:43:09"
9,"汕尾","2015-09-24 15:43:09","2015-09-24 15:43:09"


Table companies

id,"name","address","createdAt","updatedAt"
1,"Corp A","xxx street","2015-09-24 15:43:09","2015-09-24 15:43:09"


Table phones

id,"phoneNumber","createdAt","updatedAt",companyId,buslineId
1,"13800138000","2015-09-24 15:43:09","2015-09-24 15:43:09",NULL,1


Table starttimes

id,"time","createdAt","updatedAt"
1,"00:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
2,"00:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
3,"01:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
4,"01:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
5,"02:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
6,"02:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
7,"03:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
8,"03:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
9,"04:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
10,"04:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
11,"05:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
12,"05:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
13,"06:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
14,"06:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
15,"07:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
16,"07:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
17,"08:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
18,"08:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
19,"09:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
20,"09:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
21,"10:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
22,"10:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
23,"11:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
24,"11:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
25,"12:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
26,"12:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
27,"13:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
28,"13:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
29,"14:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
30,"14:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
31,"15:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
32,"15:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
33,"16:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
34,"16:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
35,"17:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
36,"17:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
37,"18:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
38,"18:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
39,"19:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
40,"19:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
41,"20:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
42,"20:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
43,"21:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
44,"21:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
45,"22:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
46,"22:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
47,"23:00:00","2015-09-24 15:43:09","2015-09-24 15:43:09"
48,"23:30:00","2015-09-24 15:43:09","2015-09-24 15:43:09"


Table stations

id,"name","address",latitude,longitude,"createdAt","updatedAt",cityId
1,"暨南大学西门",NULL,NULL,NULL,"2015-09-24 15:43:09","2015-09-24 15:43:09",1
2,"广州大学城官洲地铁站",NULL,NULL,NULL,"2015-09-24 15:43:09","2015-09-24 15:43:09",1
3,"深圳大学北门",NULL,NULL,NULL,"2015-09-24 15:43:09","2015-09-24 15:43:09",2
4,"世界之窗",NULL,NULL,NULL,"2015-09-24 15:43:10","2015-09-24 15:43:10",2
